Label (Grouping),"Alameda County, California!!Estimate","Alameda County, California!!Percent","Butte County, California!!Estimate","Butte County, California!!Percent","Contra Costa County, California!!Estimate","Contra Costa County, California!!Percent","El Dorado County, California!!Estimate","El Dorado County, California!!Percent","Fresno County, California!!Estimate","Fresno County, California!!Percent","Humboldt County, California!!Estimate","Humboldt County, California!!Percent","Imperial County, California!!Estimate","Imperial County, California!!Percent","Kern County, California!!Estimate","Kern County, California!!Percent","Kings County, California!!Estimate","Kings County, California!!Percent","Lake County, California!!Estimate","Lake County, California!!Percent","Los Angeles County, California!!Estimate","Los Angeles County, California!!Percent","Madera County, California!!Estimate","Madera County, California!!Percent","Marin County, California!!Estimate","Marin County, California!!Percent","Mendocino County, California!!Estimate","Mendocino County, California!!Percent","Merced County, California!!Estimate","Merced County, California!!Percent","Monterey County, California!!Estimate","Monterey County, California!!Percent","Napa County, California!!Estimate","Napa County, California!!Percent","Nevada County, California!!Estimate","Nevada County, California!!Percent","Orange County, California!!Estimate","Orange County, California!!Percent","Placer County, California!!Estimate","Placer County, California!!Percent","Riverside County, California!!Estimate","Riverside County, California!!Percent","Sacramento County, California!!Estimate","Sacramento County, California!!Percent","San Bernardino County, California!!Estimate","San Bernardino County, California!!Percent","San Diego County, California!!Estimate","San Diego County, California!!Percent","San Francisco County, California!!Estimate","San Francisco County, California!!Percent","San Joaquin County, California!!Estimate","San Joaquin County, California!!Percent","San Luis Obispo County, California!!Estimate","San Luis Obispo County, California!!Percent","San Mateo County, California!!Estimate","San Mateo County, California!!Percent","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Percent","Santa Clara County, California!!Estimate","Santa Clara County, California!!Percent","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Percent","Shasta County, California!!Estimate","Shasta County, California!!Percent","Solano County, California!!Estimate","Solano County, California!!Percent","Sonoma County, California!!Estimate","Sonoma County, California!!Percent","Stanislaus County, California!!Estimate","Stanislaus County, California!!Percent","Sutter County, California!!Estimate","Sutter County, California!!Percent","Tehama County, California!!Estimate","Tehama County, California!!Percent","Tulare County, California!!Estimate","Tulare County, California!!Percent","Ventura County, California!!Estimate","Ventura County, California!!Percent","Yolo County, California!!Estimate","Yolo County, California!!Percent","Yuba County, California!!Estimate","Yuba County, California!!Percent"
        45 to 54 years,"218,850",13.10%,"22,520",10.30%,"157,958",13.70%,"24,731",12.80%,"107,802",10.80%,"14,948",11.00%,"19,431",10.70%,"99,441",11.00%,"17,247",11.30%,"7,120",11.10%,"1,321,388",13.20%,"17,001",10.80%,"39,608",15.30%,"10,457",12.10%,"29,971",10.80%,"50,042",11.50%,"17,547",12.70%,"10,463",10.50%,"437,549",13.80%,"52,864",13.30%,"302,505",12.20%,"189,184",12.20%,"262,434",12.00%,"405,314",12.10%,"112,977",12.80%,"91,435",12.00%,"29,863",10.50%,"102,700",13.40%,"47,214",10.60%,"259,833",13.50%,"32,488",11.90%,"19,988",11.10%,"54,967",12.30%,"63,006",12.70%,"63,577",11.50%,"11,587",11.90%,"6,619",10.20%,"51,158",11.00%,"109,967",13.00%,"22,412",10.20%,"8,416",10.70%
        55 to 59 years,"105,639",6.30%,"12,396",5.70%,"82,343",7.10%,"15,658",8.10%,"53,801",5.40%,"7,550",5.60%,"10,083",5.60%,"47,911",5.30%,"8,322",5.40%,"4,649",7.20%,"622,919",6.20%,"9,870",6.30%,"18,462",7.10%,"4,931",5.70%,"13,120",4.70%,"24,879",5.70%,"10,272",7.50%,"7,221",7.20%,"212,301",6.70%,"26,939",6.80%,"147,068",6.00%,"99,153",6.40%,"131,001",6.00%,"204,383",6.10%,"51,698",5.90%,"44,951",5.90%,"18,450",6.50%,"54,228",7.10%,"25,932",5.80%,"120,379",6.20%,"16,810",6.20%,"13,229",7.30%,"30,013",6.70%,"35,466",7.20%,"33,296",6.00%,"4,492",4.60%,"2,697",4.10%,"23,533",5.00%,"58,672",6.90%,"11,744",5.30%,"4,157",5.30%
        60 to 64 years,"97,869",5.90%,"14,239",6.50%,"71,690",6.20%,"16,912",8.80%,"50,014",5.00%,"9,748",7.20%,"8,996",5.00%,"45,871",5.10%,"6,140",4.00%,"5,706",8.90%,"591,134",5.90%,"7,417",4.70%,"20,565",7.90%,"6,643",7.70%,"15,018",5.40%,"23,406",5.40%,"8,809",6.40%,"9,571",9.60%,"196,701",6.20%,"27,073",6.80%,"138,950",5.60%,"90,578",5.80%,"116,492",5.30%,"191,550",5.70%,"49,152",5.60%,"40,946",5.40%,"19,387",6.80%,"47,027",6.10%,"24,358",5.50%,"109,572",5.70%,"18,776",6.90%,"12,340",6.90%,"29,893",6.70%,"35,462",7.20%,"29,954",5.40%,"7,174",7.40%,"5,987",9.20%,"23,263",5.00%,"53,817",6.40%,"11,214",5.10%,"5,521",7.00%
        65 to 74 years,"140,540",8.40%,"24,499",11.20%,"109,364",9.50%,"25,386",13.20%,"74,006",7.40%,"15,643",11.50%,"13,261",7.30%,"62,538",6.90%,"9,558",6.20%,"9,085",14.10%,"808,418",8.10%,"13,486",8.60%,"34,166",13.20%,"13,029",15.00%,"18,908",6.80%,"35,868",8.30%,"15,982",11.60%,"17,000",17.00%,"274,232",8.60%,"45,145",11.30%,"208,319",8.40%,"133,250",8.60%,"160,976",7.40%,"281,875",8.40%,"79,547",9.00%,"58,490",7.70%,"35,314",12.50%,"70,459",9.20%,"38,898",8.70%,"148,575",7.70%,"32,349",11.80%,"22,878",12.70%,"44,441",9.90%,"62,618",12.70%,"42,684",7.80%,"8,148",8.40%,"7,540",11.60%,"31,961",6.90%,"78,541",9.30%,"17,599",8.00%,"6,477",8.20%
        75 to 84 years,"68,106",4.10%,"11,868",5.40%,"53,974",4.70%,"12,628",6.50%,"34,588",3.50%,"6,203",4.60%,"7,611",4.20%,"29,084",3.20%,"5,042",3.30%,"4,569",7.10%,"417,932",4.20%,"7,129",4.50%,"18,387",7.10%,"5,517",6.40%,"9,431",3.40%,"16,573",3.80%,"7,619",5.50%,"7,264",7.30%,"148,490",4.70%,"24,668",6.20%,"119,176",4.80%,"63,506",4.10%,"72,827",3.30%,"142,566",4.30%,"41,488",4.70%,"28,479",3.70%,"18,200",6.40%,"40,010",5.20%,"19,319",4.30%,"83,406",4.30%,"11,955",4.40%,"10,454",5.80%,"19,002",4.20%,"28,309",5.70%,"23,112",4.20%,"4,886",5.00%,"4,639",7.10%,"15,541",3.30%,"40,324",4.80%,"7,868",3.60%,"3,090",3.90%
        85 years and over,"29,631",1.80%,"4,192",1.90%,"23,556",2.00%,"4,075",2.10%,"17,142",1.70%,"3,180",2.30%,"2,811",1.60%,"10,038",1.10%,"1,507",1.00%,712,1.10%,"187,405",1.90%,"2,232",1.40%,"7,005",2.70%,"1,755",2.00%,"3,371",1.20%,"8,226",1.90%,"3,425",2.50%,"3,462",3.50%,"62,574",2.00%,"9,332",2.30%,"38,720",1.60%,"27,173",1.80%,"27,009",1.20%,"60,031",1.80%,"20,429",2.30%,"12,441",1.60%,"6,110",2.20%,"16,167",2.10%,"12,113",2.70%,"34,844",1.80%,"3,779",1.40%,"4,663",2.60%,"9,171",2.00%,"11,175",2.30%,"7,799",1.40%,"2,088",2.20%,"1,074",1.70%,"6,279",1.30%,"17,758",2.10%,"3,028",1.40%,708,0.90%
        White,"736,916",44.10%,"188,751",86.10%,"661,817",57.40%,"173,397",89.90%,"670,293",67.10%,"116,614",86.00%,"128,508",70.90%,"673,309",74.80%,"120,992",79.10%,"53,552",83.20%,"5,556,733",55.40%,"110,164",70.00%,"213,740",82.60%,"76,247",87.90%,"147,960",53.30%,"210,746",48.60%,"106,160",77.10%,"96,974",97.20%,"1,998,271",62.90%,"347,796",87.30%,"1,567,945",63.50%,"962,560",62.00%,"1,443,800",66.20%,"2,525,619",75.70%,"439,851",49.90%,"509,689",66.90%,"250,741",88.60%,"414,371",54.10%,"357,404",80.00%,"956,219",49.60%,"222,855",81.60%,"162,805",90.40%,"269,933",60.30%,"387,175",78.30%,"461,445",83.80%,"72,642",74.90%,"59,186",90.90%,"333,358",71.50%,"713,415",84.30%,"166,907",75.70%,"68,298",86.80%
        Black or African American,"204,458",12.20%,"6,990",3.20%,"119,949",10.40%,"2,781",1.40%,"59,770",6.00%,"4,013",3.00%,"4,630",2.60%,"57,574",6.40%,"11,698",7.60%,"1,678",2.60%,"923,788",9.20%,"5,061",3.20%,"9,006",3.50%,"1,211",1.40%,"11,413",4.10%,"15,942",3.70%,"4,471",3.20%,"1,509",1.50%,"76,447",2.40%,"10,629",2.70%,"200,344",8.10%,"195,844",12.60%,"218,705",10.00%,"215,114",6.40%,"56,428",6.40%,"68,687",9.00%,"7,656",2.70%,"25,117",3.30%,"12,707",2.80%,"64,448",3.30%,"8,572",3.10%,"4,203",2.30%,"73,219",16.40%,"14,852",3.00%,"20,219",3.70%,"3,646",3.80%,892,1.40%,"9,909",2.10%,"23,596",2.80%,"8,575",3.90%,"4,289",5.50%
        American Indian and Alaska Native,"25,090",1.50%,"8,350",3.80%,"18,009",1.60%,"4,517",2.30%,"25,280",2.50%,"12,559",9.30%,"4,782",2.60%,"17,980",2.00%,"3,722",2.40%,"4,932",7.70%,"161,984",1.60%,"3,535",2.20%,"3,616",1.40%,"6,672",7.70%,"4,460",1.60%,"6,096",1.40%,"2,511",1.80%,"2,976",3.00%,"32,988",1.00%,"7,288",1.80%,"43,837",1.80%,"35,484",2.30%,"42,582",2.00%,"55,579",1.70%,"10,001",1.10%,"59,167",7.80%,"5,975",2.10%,"9,275",1.20%,"9,273",2.10%,"26,394",1.40%,"5,246",1.90%,"8,790",4.90%,"9,508",2.10%,"11,628",2.40%,"9,929",1.80%,"4,479",4.60%,"2,991",4.60%,"13,222",2.80%,"16,480",1.90%,"3,438",1.60%,"3,692",4.70%
        Asian,"583,249",34.90%,"14,200",6.50%,"240,470",20.80%,"12,722",6.60%,"120,532",12.10%,"6,273",4.60%,"3,749",2.10%,"52,386",5.80%,"7,969",5.20%,"1,139",1.80%,"1,658,238",16.50%,"4,504",2.90%,"22,652",8.80%,"2,606",3.00%,"23,899",8.60%,"35,388",8.20%,"14,339",10.40%,"2,136",2.10%,"750,200",23.60%,"43,008",10.80%,"208,643",8.40%,"305,087",19.70%,"193,095",8.90%,"500,784",15.00%,"340,754",38.70%,"151,196",19.80%,"15,920",5.60%,"254,892",33.30%,"32,722",7.30%,"794,987",41.20%,"21,205",7.80%,"8,224",4.60%,"87,308",19.50%,"30,806",6.20%,"39,377",7.20%,"18,459",19.00%,"1,261",1.90%,"21,514",4.60%,"78,747",9.30%,"39,884",18.10%,"6,151",7.80%
        Native Hawaiian and Other Pacific Islander,"23,847",1.40%,"1,726",0.80%,"10,931",0.90%,681,0.40%,"3,527",0.40%,797,0.60%,N,N,"4,180",0.50%,"2,037",1.30%,N,N,"62,132",0.60%,"1,685",1.10%,"1,454",0.60%,283,0.30%,678,0.20%,"3,329",0.80%,722,0.50%,N,N,"23,255",0.70%,"3,058",0.80%,"18,631",0.80%,"28,058",1.80%,"18,578",0.90%,"34,570",1.00%,"7,447",0.80%,"10,257",1.30%,"1,427",0.50%,"14,084",1.80%,"2,265",0.50%,"16,223",0.80%,862,0.30%,864,0.50%,"8,264",1.80%,"5,881",1.20%,"7,490",1.40%,447,0.50%,N,N,"2,942",0.60%,"4,615",0.50%,"2,530",1.10%,"1,599",2.00%
        Some other race,"213,998",12.80%,"13,917",6.30%,"181,161",15.70%,"6,009",3.10%,"163,494",16.40%,"6,646",4.90%,"43,480",24.00%,"131,634",14.60%,"14,143",9.20%,"6,398",9.90%,"2,127,196",21.20%,"36,360",23.10%,"19,522",7.50%,"2,885",3.30%,"98,766",35.60%,"181,667",41.90%,"15,974",11.60%,N,N,"435,503",13.70%,"9,668",2.40%,"551,724",22.30%,"161,012",10.40%,"386,752",17.70%,"216,087",6.50%,"80,676",9.20%,"64,232",8.40%,"12,184",4.30%,"92,701",12.10%,"49,443",11.10%,"180,825",9.40%,"29,895",10.90%,"5,009",2.80%,"39,787",8.90%,"75,163",15.20%,"36,037",6.50%,"5,626",5.80%,"5,070",7.80%,"109,172",23.40%,"50,184",5.90%,"11,936",5.40%,"2,025",2.60%
        Hispanic or Latino (of any race),"373,055",22.30%,"37,731",17.20%,"300,420",26.00%,"25,378",13.20%,"537,180",53.80%,"16,354",12.10%,"154,088",85.00%,"491,545",54.60%,"84,514",55.30%,"14,171",22.00%,"4,881,970",48.60%,"92,484",58.80%,"42,160",16.30%,"22,379",25.80%,"169,442",61.00%,"257,721",59.40%,"47,661",34.60%,"9,731",9.80%,"1,081,091",34.00%,"57,381",14.40%,"1,236,032",50.00%,"366,764",23.60%,"1,186,808",54.40%,"1,140,033",34.10%,"134,309",15.20%,"320,334",42.00%,"64,860",22.90%,"183,978",24.00%,"205,536",46.00%,"482,298",25.00%,"92,921",34.00%,"18,936",10.50%,"122,103",27.30%,"134,954",27.30%,"262,068",47.60%,"30,906",31.90%,"16,776",25.80%,"305,824",65.60%,"365,835",43.20%,"70,392",31.90%,"22,925",29.10%
